CCTV巴德赛尔,08月25日 01:59,//weibo.com/5356603018/M2AxtgtCi?refer_flag=1001030103_,#新闻事中新闻人# 【#重庆山火志愿者骑摩托接力送物资#】近日，重庆因持续高温发生多起山火。由于当地地势陡峭，一般车辆通行不便，无法将救援物资运上山，多名志愿者自发骑摩托车赶来帮忙。他们背着大背篓，一趟又一趟往山上接力运送物资，“大家都在出自己的一份力 ！”不要前往火灾现场围观，一定要注意安全！ L央视新闻的微博视频（央视新闻） 收起d,yellow,0,0,1
骑豬狂追,08月25日 01:59,//weibo.com/7528259060/M2AxptdBm?refer_flag=1001030103_,#重庆山火扑救现场##缙云山# 求求老天下场大雨吧，哪怕只是一小会也行。保佑他们每一个人都平安归来，无人受伤！ ?,yellow,0,0,6
娃娃的机器人,08月25日 01:59,//weibo.com/5286067462/M2AxnDrsk?refer_flag=1001030103_,#解放军奋战山火休息时和衣而卧# 重庆山火太揪心了 ?,yellow,0,0,0
mua-pengxm,08月25日 01:58,//weibo.com/5146610759/M2Axi7fol?refer_flag=1001030103_,重庆真的好难啊 高温 疫情 山火 快下雨吧！！ ?,yellow,0,3,1
AngelicaSalvatore,08月25日 01:58,//weibo.com/2187635064/M2Axdnsoa?refer_flag=1001030103_,#缙云山##重庆山火# 马鞍快去重庆吧 ?,yellow,0,0,0
cteHHH,08月25日 01:58,//weibo.com/1804042195/M2Axct79x?refer_flag=1001030103_,希望重庆山火扑灭后 来些明星给这些灭火的英雄们做些慰问的文艺演出吧  然后再发起个公益计划 募捐也好种树也好 让更多人参与进来吧  ?,yellow,0,1,1
乍见之欢141628,08月25日 01:58,//weibo.com/6606192808/M2AxcbvUF?refer_flag=1001030103_,#重庆山火#重庆一定要加油呀！！！我真的很喜欢很喜欢这个城市！一定要好好的！所有人要平安！ ?,yellow,0,0,0
吾非圣贤009,08月25日 01:58,//weibo.com/5526974111/M2AwYib5c?refer_flag=1001030103_,#重庆山火扑救现场#重庆加油！ ?,yellow,0,0,0
喜欢柠檬水的虾球球,08月25日 01:57,//weibo.com/5606526604/M2AwGhMRT?refer_flag=1001030103_,#重庆山火##北碚山火##缙云山# 愿山河无恙。图拍摄于今日凌晨1：53 ?,yellow,1,0,41
天天都是一米九,08月25日 01:57,//weibo.com/6251709647/M2Awx62EU?refer_flag=1001030103_,#重庆山火##缙云山# 降雨降雨降雨????来场雨浇浇重庆吧?? ?,yellow,0,0,5
