xxwang119,08月23日 01:27,//weibo.com/2335122603/M2htC3JFu?refer_flag=1001030103_,#重庆奉节突发山火蔓延至多个山头#害怕…… ?,yellow,0,0,0
感觉好久zx,08月23日 01:26,//weibo.com/7466170837/M2hsXzEHD?refer_flag=1001030103_,分享网易视频《重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了》 O重庆山火有多夸张？ 两米长大蛇都被烤熟 网友：可以直接吃了 来自@网易新闻客户端 #网易新闻# ?,yellow,0,0,0
不穿裤茶·,08月23日 01:22,//weibo.com/5782206198/M2hrCcMrz?refer_flag=1001030103_,本来在担心重庆山火 结果、、、我们家这边也着火了！！！我会谢现在还没灭没惹任何人 ?,yellow,0,0,0
蜀國小帥,08月23日 01:21,//weibo.com/3557541162/M2hriujzd?refer_flag=1001030103_,#奉节山火#继重庆巴南，重庆大足。重庆涪陵，重庆北碚，重庆南川相继发生火灾后，现在奉节也发生火灾，大家一定要有安全意识跟安全隐患，愿平安 ?,yellow,1,0,2
今天也想想烊烊,08月23日 01:20,//weibo.com/5224033972/M2hqUgALS?refer_flag=1001030103_,重庆快下雨吧 #重庆山火# 还有疫情退！退！退！ 2重庆 ?,yellow,0,1,0
大燕子-Fairy,08月23日 01:20,//weibo.com/6105599150/M2hqJB4jx?refer_flag=1001030103_,一边担心海南的疫情一边担心重庆山火一个是我的家一个是我最爱的城市好在的是海南疫情已经出现拐点了重庆的疫情却形势严峻，我一直都很相信重庆的疫情防控，不然怎么可能一直保护得那么好山火也令人揪心，山上还有人住着哩希望一切平安啊！！ ?,yellow,0,2,4
佛系忧国忧民,08月23日 01:19,//weibo.com/6568728914/M2hqjxAgY?refer_flag=1001030103_,#重庆山火##贵州赤水山火##奉节山火# 别降rs涪陵、南山、江津、大足、铜梁、巴南、开州、北碚山火…真的一波未平一波又起！连续高温加大风增加了救援难度，希望救援人员都可以平安归来！ ???,yellow,0,0,0
VVVermi,08月23日 01:19,//weibo.com/6230974248/M2hqeeAxt?refer_flag=1001030103_,#重庆山火# 近况如何啊…看着太糟心了…… ?,yellow,0,0,0
薄荷酷,08月23日 01:18,//weibo.com/1514088363/M2hq3mXFl?refer_flag=1001030103_,今年重庆真的太难了 高温持续不下 山火不断 很多单位为了保障民生 限电办公 希望赶快下雨降温吧 真的太难了 ?,yellow,0,0,0
林雨歇,08月23日 01:17,//weibo.com/6596270116/M2hpFCX7P?refer_flag=1001030103_,#贵州赤水山火#天哪，前几天是重庆每年都这样吗还是我今年听说的多 ?,yellow,0,0,0
重庆黄飞,08月23日 01:13,//weibo.com/1280472933/M2hnTtdS3?refer_flag=1001030103_,当下重庆可用一幅对联来表达。?上联：疫情、旱情、山火情，每种情让人提心吊胆。?下联：水事、电事、生活事，所有事使民抓耳挠腮。?横批：渝情正事 ?,yellow,1,0,1
麻椒爱吃鱼,08月23日 01:12,//weibo.com/7430218142/M2hnzkmoQ?refer_flag=1001030103_,#重庆山火#我们说好 我们挺过去！！！ ?,yellow,0,0,1
