,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,
0,_Tachibana當,09月01日 01:56,//weibo.com/2134699313/M3EvIE57M?refer_flag=1001030103_,#思源驰援重庆山火#与爱同路，让爱回家。我在“思源驰援重庆山火”项目捐款成功！愿我和@LT的探戈 一起放大爱的力量！@中华思源工程扶贫基金会 思源驰援重庆山火 ?,yellow,0,0,0,81
1,lotus_anan,09月01日 01:50,//weibo.com/1319297121/M3EtfDwjA?refer_flag=1001030103_,本周热读 【这一幕很熟悉！#重庆市民递物资夹道欢送灭火队伍#】#重庆欢送消防员没端火锅是最后克制# 8月26日，重庆。山火成功扑灭，驰援队凯旋而归，市民们夹道欢送，现场敲锣打鼓，还有市民向车队里扔西瓜以及水等物资，以表感谢。#致敬重庆山火逆行者# （沸点视频）L沸点壹刻的微博视频 ?,None,0,0,0,143
2,我和困困看日落捏,09月01日 01:44,//weibo.com/7774787866/M3EqSdMJK?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐蔡徐坤2021个人巡回演唱会，快来跟我一起让更多人听到蔡徐坤2021个人巡回演唱会！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,125
3,我和困困看日落捏,09月01日 01:44,//weibo.com/7774787866/M3EqLmCle?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐迷（互动版），快来跟我一起让更多人听到迷（互动版）！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,109
4,我和困困看日落捏,09月01日 01:43,//weibo.com/7774787866/M3EqssZkA?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐迷（互动版），快来跟我一起让更多人听到迷（互动版）！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,109
5,我和困困看日落捏,09月01日 01:43,//weibo.com/7774787866/M3EqjC94N?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐Hug me，快来跟我一起让更多人听到Hug me！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,109
6,我和困困在海边,09月01日 01:39,//weibo.com/7774615335/M3EoHpI0X?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐迷（互动版），快来跟我一起让更多人听到迷（互动版）！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,109
7,我和困困在海边,09月01日 01:38,//weibo.com/7774615335/M3EoxDqgb?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐Hug me，快来跟我一起让更多人听到Hug me！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,109
8,Limyesensen,09月01日 01:37,//weibo.com/7763621298/M3EnWdvr0?refer_flag=1001030103_,#思源驰援重庆山火# 为爱前行，我一直在路上。我在“思源驰援重庆山火”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6SJGvIk ?,ip,0,0,0,76
9,我和困困吃烧烤捏,09月01日 01:36,//weibo.com/7774787943/M3EnN0FrS?refer_flag=1001030103_,乐启新程！2022#微博音乐盛典#来袭！我推荐蔡徐坤，快来跟我一起音乐+年华！微博音乐盛典#蔡徐坤为重庆捐赠救灾物资#cxk#蔡徐坤为重庆山火救援捐款#@蔡徐坤 O2022微博音乐盛典乐启新程 ?,None,0,0,0,99
