,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,,
2064,蓝鲸小跟班,08月29日 13:24,//weibo.com/5631464467/M3gJmtW8T?refer_flag=1001030103_,“烈火骑士”越野的梦75号车手-陈然，今年才19岁的重庆娃，迎着肆意燃烧的山火骑坏了3辆摩托车，上山救援是运送物资最猛的一个。他虽年龄不大，个子也不高，但小伙子车技过硬，意志力超强，不顾自己安危冲锋在前，勇猛无敌，完全体现出川军的军人的作风。家乡有难，身体力行，英雄陈然，奋战重庆，每一个重庆人都记住了你，感谢你，这才是当代年轻人的榜样！ 收起d,gold,4,4,46,173,
2065,青春上海,08月29日 13:23,//weibo.com/1964619957/M3gJ58uI8?refer_flag=1001030103_,【使命所在！#退伍战士和战友山火现场重逢#】在重庆群众欢呼送别灭火英雄时，他却洒下了热泪……他叫万家乐，是原武警云南省森林总队普洱支队景谷中队的退伍战士，家在重庆。退伍不褪色的他作为志愿者参与了灭火工作。如今，他来为自己曾经的战友送行。英雄总是在逆行的道路上相逢！L央视网快看的微博视频 收起d,blue,6,1,2,147,
2066,瞭望鄠邑,08月29日 13:23,//weibo.com/7744603436/M3gIY0P4r?refer_flag=1001030103_,女孩作画记录重庆山火感动瞬间#：向救火英雄们致敬 时刻被他们感】8月28日，浙江杭州。最近几天，小陈一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过自己的画作表现出来，向救火的英雄们致敬。#漫画版摩托救火少年#头条新闻工作室 L瞭望鄠邑的微博视频 ?,ip,0,0,1,142,
2067,绍兴越城公安,08月29日 13:22,//weibo.com/2139893427/M3gIBAqAq?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】8月28日，浙江杭州。最近几天，小陈@那那手绘 一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过漫画的形式表现出来，向救火的英雄们致敬L齐鲁晚报的微博视频 ?,blue,0,29,14,114,
2068,果然视频,08月29日 13:21,//weibo.com/6357456494/M3gIlfVvh?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】8月28日，浙江杭州。最近几天，小陈@那那手绘 一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过漫画的形式表现出来，向救火的英雄们致敬。 L齐鲁晚报的微博视频 via.@齐鲁晚报 ?,blue,0,1,2,126,
2069,泸州日报,08月29日 13:21,//weibo.com/3005117634/M3gIl1Ca8?refer_flag=1001030103_,【#山城骑士漫画原型找到了#他是泸州00后汽修小哥，新车发动机因冲坡报废】超40度高温的户外，发动机声轰鸣，骑手们纷纷沿着陡峭的山坡向上冲去……重庆北碚、璧山山火救援现场，那些迎难而上，骑摩托车运送救援物资的年轻骑手们，感动了无数网友。这股支援山火的青年力量中，一位穿骑行服、身背救援物资，疾驰在坑坑洼洼山坡上，跌倒后快速站起，多次冲坡的小伙子，让许多人泪目。尘土飞扬中，他英姿飒爽的身影，被不少媒体和网友制作成代表山火救援中“山城骑士”群体的漫画，广泛转发传播。27日，上游新闻记者联系上这位年轻小伙。小伙姓陈，今年19岁，并非重庆人，而是四川泸州人，目前在璧山区从事汽修工作。北碚发生山火，他第一时间赶到现场当了志愿者。随后他又回到璧山支援救火。只有这两天，他才有时间好好休息一下。因为受到外界关注，他显得有些不好意思。“不用表扬我，我只是做了自己应该做的事，尽自己的一份力量。另外，前来支援的骑手也不止我一个，还有很多很多……更应该被关注的还有那些在一线的专业救援人员。”他说。 收起d,ip,0,1,1,446,
2070,生活Video,08月29日 13:21,//weibo.com/6154333526/M3gIh9YFD?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】8月28日，浙江杭州。最近几天，小陈@那那手绘 一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过漫画的形式表现出来，向救火的英雄们致敬。 L齐鲁晚报的微博视频 via.@齐鲁晚报 ?,None,0,0,2,126,
2071,齐鲁壹点,08月29日 13:21,//weibo.com/2011445377/M3gId1PBu?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】8月28日，浙江杭州。最近几天，小陈@那那手绘 一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过漫画的形式表现出来，向救火的英雄们致敬。 L齐鲁晚报的微博视频 via.@齐鲁晚报 ?,blue,0,1,0,126,
2072,荆楚公子,08月29日 13:21,//weibo.com/5510544196/M3gI9cmr5?refer_flag=1001030103_,#美国生活#【在美国亲眼目击了一次美国山火，真的让人大开了眼界】重庆缙云山山火被扑灭，前后不过两三天，更看到无数志愿顶着高温奔赴火场，出力出物，不禁泪目。多年前在美国恰好目击了一次美国山火，还是大开了眼界。那年八月开车从旧金山往西雅图去。出发时旧金山已经被烟尘笼罩，正午如同傍晚，好在着火点离城尚远，没有太过担心。可越往北开，烟雾越是浓烈，为了赶时间，且又没什么风景可看，我没有上一号公路，而是直接拐上了五号高速。进入俄勒冈州不久，大概开过尤金市，因为能见度太低，高速路封闭了，我们被疏导着下了高速。找了家麦当劳吃点东西，准备再拐回一号公路，毕竟海边上应该不受山火影响。在麦当劳里却听到了当地人对山火的看法，非常的震撼。1，消防人员因为薪酬待遇问题，缺岗严重，政府正在调集民兵和飞机驾驶员。2，消防队只优先对交了山火保险的豪宅外挖了防火沟，对交不起保险的穷人则熟视无睹。3，政府组织不起进山灭火的队伍，只能控制住城镇周围的隔离带，组织火势蔓延，火场里面只有自生自灭，估计要烧一个星期，现在火场周围八十公里范围内的老人已经开始疏散，他们的呼吸系统完全无法应付烟尘浓度。4，俄勒冈州政府这些年已经花了财政收入的5%来挖防火沟，几乎把每个山体都分割开来，如果没有大风，烧光一座山，火也就灭了。5，干旱少雨以及熊孩子玩火据说是山火泛滥的主因，但不是每年都干旱，也不是每年都有熊孩子放火；真正造成火灾的原因是很多山区的电线严重老化，很多电线有六十年以上的历史，百年以上的木制电线杆也不少。这届政府有钱挖沟，没钱换电线，还在思路清奇地正在谋求连任。6，因为政府的防火策略，靠近山体的民房保险费用奇高，造成房主很难卖掉房子，房子不能出手，没钱买房搬家，只有年年祈祷，恶性循环。那一次，整个俄勒冈州据说有一百多个失火点，我跌跌撞撞绕了一天半才穿过去，最近时离山火点不过三公里，半边天都是红的。好不容易到达华盛顿州，没想到，那边的山上也烧着呢。#火灾# #美国见闻# 收起d,gold,2,7,8,828,
2073,重庆检察,08月29日 13:20,//weibo.com/5915215161/M3gI0yItR?refer_flag=1001030103_,#这世间温暖可见# 【最可爱的人！#消防员离渝前把被子叠成豆腐块#】8月27日，重庆北碚山火被成功扑灭之后，云南森林消防总队部分官兵在山下的西南大学暂时驻扎，离渝前，他们把房间整理得干干净净，被子都叠成了“豆腐块”。他们还用纸笔留下了想对重庆人民说的话。感谢你们，最可爱的人！#消防员住过的房间令保洁阿姨破防#（重庆广电-第1眼）L重庆广电-第1眼的微博视频 收起d,blue,1,2,1,183,
2074,琶洲西小哥,08月29日 13:20,//weibo.com/2206590543/M3gHVBIrb?refer_flag=1001030103_,《重庆印象?缙云山索道》「重庆北碚缙云山的山火烧了几天，终于被扑灭了。闻之甚慰。今天再讲一件登缙云山之往事，聊为纪念。」O重庆印象?缙云山索道 2广州·广州大学城 ?,None,1,1,0,83,
2075,终极神剑,08月29日 13:19,//weibo.com/6847755744/M3gHyhfet?refer_flag=1001030103_,分享网易新闻《重庆山火中国式救援震撼外网，老外评论：从未见过如此团结的民族》 O重庆山火中国式救援震撼外网，老外评论：从未见过如此团结的民族 来自@网易新闻客户端 #网易新闻# ?,None,0,0,0,90,
2076,猎奇研究所,08月29日 13:19,//weibo.com/6249072639/M3gHlh9Mw?refer_flag=1001030103_,#社会百态##暖心新闻#贵州支援重庆山火救援队伍凯旋！重庆市民硬核投喂，“装满，装满了再说！” L猎奇研究所的微博视频 ?,None,0,0,0,61,
2077,齐鲁晚报,08月29日 13:18,//weibo.com/2011075080/M3gH95Twd?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】8月28日，浙江杭州。最近几天，小陈@那那手绘 一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过漫画的形式表现出来，向救火的英雄们致敬。#这组手绘画出了重庆的英雄气# #蓝V视界# L齐鲁晚报的微博视频 ?,blue,3,1,12,138,
2078,蟹视频,08月29日 13:18,//weibo.com/6380644334/M3gH4a0wo?refer_flag=1001030103_,【细节好戳！#重庆山火英雄图鉴#】重庆山火经过各方救援力量多日奋战，各线明火已全部扑灭。一组手绘漫画，致敬全体救火逆行者们和可爱的山城人民！#一组手绘致敬重庆山火逆行者#@那那手绘 ????,blue,0,2,5,95,
2079,万人医美云仓,08月29日 13:17,//weibo.com/7213656960/M3gGKzeiX?refer_flag=1001030103_,【医美云仓群早报?】8月29日，星期一，农历八月初三，工作愉快，生活喜乐！1、两艘美舰过航台湾海峡，东部战区：随时做好挫败任何挑衅准备。2、成都疫情处于快速上升阶段，成都疫情病例社会活动轨迹广泛。3、重庆授予云南省森林消防总队等4个集体感动重庆特别奖。4、六连胜！中国女排晋级亚洲杯决赛。5、四川宜宾连天山深夜突发山火，应急局：多陡岩扑救难度大，气象部门正想办法。6、四川一般工商业用电全部恢复。7、职业极限飞盘联赛在国内首播，助推国内飞盘赛事发展再迈一步。8、微软首次发布汽车和移动出行整体解决方案。9、首尔一高中因生源不足即将关闭，截至2020年，韩国空置中小学校达1400多所。10、美国约2000万户家庭拖欠水电气费，美国家庭拖欠水电气费或达160亿美元。11、韩国打破世界最低生育率纪录，新生人口断崖式下跌。12、对俄煤炭禁运生效后，波兰面临严重短缺。【微语】我们全身的细胞换一次大概是6-7年。也就是说：7年前的你和现在的你是完全不一样的，这就是我们身体的迭代。但是人的思维升级、和认知迭代却很慢，很多人30岁就已经死了，只不过80岁才埋掉，他们一辈子都是用同一套思维模式，一生都活在固定的脑回路里。原因很简单：我们的大脑是主观的，而我们的身体是客观的，客观的东西升级永远都比主观的快，因为主观的东西太有“自我意识”，太容易“我执”，太喜欢陷入自己狭隘的“偏见”里。人们认知的迭代速度，远远小于身体新陈代谢的速度，也小于社会的进化速度，这才是人最大的问题和挑战！这注定让很多人被社会潮流淘汰！ 收起d,None,0,0,0,656,
2080,未来网,08月29日 13:17,//weibo.com/2409482243/M3gGJ6NZL?refer_flag=1001030103_,【细节好戳！#重庆山火英雄图鉴#】重庆山火经过各方救援力量多日奋战，各线明火已全部扑灭。一组手绘漫画，致敬全体救火逆行者们和可爱的山城人民！#山城夹道长队送别灭火英雄#@那那手绘 ?,blue,6,4,16,91,
2081,叙州公安,08月29日 13:17,//weibo.com/3746858447/M3gGHD0oY?refer_flag=1001030103_,【纪录片｜#与山火决战的最后8小时#】“缙云山的火烧到第四天的时候，再也坐不住了。8月25日中午，几个小伙伴陆续到达山下志愿者和物资集结点拍摄；下午四点，辗转到达山腰指挥部拍摄。此前，没有人能意识到，我们记录的是与山火决战的最后八个小时。”#重庆山火最后8小时全纪录#（制作：重庆广电集团纪录片团队） @人民日报 L人民日报的微博视频 收起d,blue,0,0,0,171,
2082,我馍蒸了,08月29日 13:16,//weibo.com/7768134503/M3gGwa0p2?refer_flag=1001030103_,#思源驰援重庆山火#与爱同路，让爱回家。我在“思源驰援重庆山火”项目捐款成功！愿我和@蔡徐坤全球粉丝后援会 一起放大爱的力量！@中华思源工程扶贫基金会 思源驰援重庆山火 ?,None,0,0,0,86,
2083,漂亮的张阿姨呀,08月29日 13:16,//weibo.com/7715432800/M3gGn0rDd?refer_flag=1001030103_,8月27日，重庆山火过后，家长带孩子上山清理垃圾，“特殊一课”被他人记录  L漂亮的张阿姨呀的微博视频 ?,None,0,0,2,53,
2084,猛然君,08月29日 13:16,//weibo.com/6076953197/M3gGjEHS9?refer_flag=1001030103_,【#龙麻子称走红后心慌将继续送外卖#：支援结束 先睡个一天一夜】#龙麻子和朋友成立骑士山火救援队# 8月21日晚，重庆北碚区歇马街道发生山火，由于山路不畅 ，众多摩托骑手自发支援火灾前线，引发关注。对话龙杰（龙麻子），他表示走红背后离不开朋友的帮忙，但并不习惯走在街头被人认出，合影拍照，直言“心里非常慌”。 支援前线结束后，龙麻子称将继续送外卖，坦言“先睡个一天一夜”。同时龙麻子和朋友们已经成立重庆骑士“山火救援队”，称时刻准备着，“只要有需要我们就上”。L正面FACE的微博视频 收起d,yellow,0,0,0,246,
2085,果壳趣科,08月29日 13:16,//weibo.com/1837260653/M3gGhnpMg?refer_flag=1001030103_,【#龙麻子称走红后心慌将继续送外卖#：支援结束 先睡个一天一夜】#龙麻子和朋友成立骑士山火救援队# 8月21日晚，重庆北碚区歇马街道发生山火，由于山路不畅 ，众多摩托骑手自发支援火灾前线，引发关注。对话龙杰（龙麻子），他表示走红背后离不开朋友的帮忙，但并不习惯走在街头被人认出，合影拍照，直言“心里非常慌”。 支援前线结束后，龙麻子称将继续送外卖，坦言“先睡个一天一夜”。同时龙麻子和朋友们已经成立重庆骑士“山火救援队”，称时刻准备着，“只要有需要我们就上”。L正面FACE的微博视频 收起d,yellow,0,0,0,246,
2086,科技重症者,08月29日 13:16,//weibo.com/1842001241/M3gGemNib?refer_flag=1001030103_,【#龙麻子称走红后心慌将继续送外卖#：支援结束 先睡个一天一夜】#龙麻子和朋友成立骑士山火救援队# 8月21日晚，重庆北碚区歇马街道发生山火，由于山路不畅 ，众多摩托骑手自发支援火灾前线，引发关注。对话龙杰（龙麻子），他表示走红背后离不开朋友的帮忙，但并不习惯走在街头被人认出，合影拍照，直言“心里非常慌”。 支援前线结束后，龙麻子称将继续送外卖，坦言“先睡个一天一夜”。同时龙麻子和朋友们已经成立重庆骑士“山火救援队”，称时刻准备着，“只要有需要我们就上”。L正面FACE的微博视频 收起d,yellow,0,0,0,246,
2087,周至法院,08月29日 13:16,//weibo.com/2575101417/M3gGba5Xw?refer_flag=1001030103_,【#龙麻子称走红后心慌将继续送外卖#：支援结束 先睡个一天一夜】#龙麻子和朋友成立骑士山火救援队#8月21日晚，重庆北碚区歇马街道发生山火，由于山路不畅 ，众多摩托骑手自发支援火灾前线，引发关注。凤凰网@正面FACE?对话龙杰（龙麻子），他表示走红背后离不开朋友的帮忙，但并不习惯走在街头被人认出，合影拍照，直言“心里非常慌”。支援前线结束后，龙麻子称将继续送外卖，坦言“先睡个一天一夜”。同时龙麻子和朋友们已经成立重庆骑士“山火救援队”，称时刻准备着，“只要有需要我们就上”。#微博当事人# L正面FACE的微博视频 收起d,blue,0,27,15,263,
2088,广西共青团,08月29日 13:15,//weibo.com/2540201414/M3gFIwmEN?refer_flag=1001030103_,山东籍95后小伙丁云骢得知重庆市北碚区虎头山突发山火后马不停蹄上山参与救援为小伙子点赞！ #95后小伙瞒着家人到重庆救火##广西团团微分享# L闪电新闻的微博视频 ?,blue,1,7,7,83,
2089,玖寅绘画,08月29日 13:14,//weibo.com/5600239360/M3gFzEqwT?refer_flag=1001030103_,“这个作品没有视觉中心没有主次，因为每一处都是视觉中心！”#致敬消防英雄 ##重庆山火# 2重庆·四川美术学院(虎溪校区) L玖寅绘画的微博视频 ?,None,1,1,20,74,
2090,森林中流淌的河,08月29日 13:14,//weibo.com/3963797654/M3gFxuRei?refer_flag=1001030103_,#凤凰新闻#【重庆山火终于扑灭 但柳叶刀的独家报告却揭示一个更大隐患】【导读】近期，伴随连日高温而来的重庆山火牵动人心，经过各方救援力量多日奋战，各线明火已全部扑灭。近年来，热浪、干旱、暴雨等极端天气事件像被打开的潘多拉魔盒一样，...O重庆山火终于扑灭 但柳叶刀的独家报告却揭示一个更大隐患来自@凤凰新闻客户端 ?,None,0,0,0,158,
2091,君子坦荡荡xrcqq,08月29日 13:14,//weibo.com/1886388634/M3gFwpw32?refer_flag=1001030103_,感动！这才是真正的美丽风景线，致敬英雄重庆人！中华儿女多团结，试看天下谁能敌！！！『2万余人阻击重庆山火如何取得胜利?这些措施值得总结』O2万余人阻击重庆山火如何取得胜利?这些措施值得总结 ?,None,0,0,0,96,
2092,重庆美好生活推荐官,08月29日 13:14,//weibo.com/1884337215/M3gFvahhp?refer_flag=1001030103_,#大学老师为重庆骑士创作雕塑#   重庆经过这个八月的种种磨难  疫情  高温  山火  让全中国看到了重庆人的凝聚力 ?,None,0,0,0,61,
2093,陇南大小事,08月29日 13:14,//weibo.com/5910804917/M3gFu0ypH?refer_flag=1001030103_,【了不起！#甘肃森林消防在重庆9战9捷#】近期，甘肃省森林消防总队重庆驻防队伍连续奋战18昼夜，转战奔袭6000里路，在火势最迅猛、人民最需要的时刻挺身而出、浴火奋战，成功扑救了璧山、涪陵、南川、江津、大足、北碚、奉节、长寿等9地的山火，#重庆人民不会忘记甘肃森林消防# 向守护山城的战士致敬！#低调的甘肃到底有多牛# L人民网的微博视频 2陇南 收起d,yellow,0,1,7,177,
2094,北京日报都视频,08月29日 13:13,//weibo.com/2145917613/M3gFhkfL4?refer_flag=1001030103_,【#扑灭重庆山火的英雄中有一名北京消防员# 】在扑灭重庆山火的英雄中，有一位北京大兴区消防救援支队旧宫特勤站的消防员，他叫兰书红。 L北京日报都视频的微博视频 ?,blue,8,1,214,81,
2095,练启军,08月29日 13:13,//weibo.com/6217922320/M3gFeDqsz?refer_flag=1001030103_,点赞重庆山火救援07年在重庆工作，遇到了50年才出现的高温干旱，嘉陵江也干得见了河床，在井口镇傍晚时消防警报起山火了，消防车刚过去，那些喊声最大跑得最快的耙耳朵们自发赶往山上了，要点赞政府的应急反应和应急措施，以及后勤保障。在我们反应过来也上山时，沿途就有了矿泉水包头医疗卫生，还会热情发放，把每一个上山的人员当作自愿者，当然很多人都没有要，知道让给还有更需要的人他们都是站在火光中的英雄，希望他们都平安！ 收起d,None,0,0,0,207,
2096,上游新闻,08月29日 13:13,//weibo.com/1420157965/M3gFdtH6X?refer_flag=1001030103_,【#上游数藏首发骑士精神数字藏品#今天下午开抢，所得善款全部捐赠！】2022年8月，连晴高温，引发山火肆虐重庆，以缙云山为代表的重庆多地山区，陷入危险境地。关键时刻，重庆摩托车骑手们参与山火扑救，引全国媒体和网友点赞。他们为这一举动，取了一个名字：骑士精神。从此，重庆这座城市多了一个品牌标签。为致敬我们英雄的城市、致敬我们英雄的人民，上游数藏二次创作生成骑士精神数字藏品，将重庆人民的这份热血担当永久铭刻，也让众多数字藏家收藏见证代表重庆的“骑士精神”，弘扬和传承“骑士精神”，极具历史意义、教育意义和收藏价值。O上游数藏首发“骑士精神”数字藏品 收起d,blue,5,1,10,278,
2097,常州消防,08月29日 13:13,//weibo.com/1833964422/M3gEVFo6N?refer_flag=1001030103_,【致敬！#退伍老兵和战友山火现场重逢#】在重庆群众送别“灭火英雄”的队伍中，一位男子在现场失声痛哭，引起了很多人的注意。他叫万家乐，是原武警云南省森林总队普洱支队景谷中队的退伍老兵，家在重庆。他也是这次上山的志愿者，参与了灭火工作。今天来为自己曾经的战友送行，瞬间无法自持、失声痛哭。L央视网快看的微博视频 收起d,blue,0,0,0,157,
2098,青年湖南,08月29日 13:12,//weibo.com/2178873290/M3gETlVcP?refer_flag=1001030103_,【使命所在！#退伍战士和战友山火现场重逢#】在重庆群众欢呼送别灭火英雄时，他却洒下了热泪……他叫万家乐，是原武警云南省森林总队普洱支队景谷中队的退伍战士，家在重庆。退伍不褪色的他作为志愿者参与了灭火工作。如今，他来为自己曾经的战友送行。英雄总是在逆行的道路上相逢！#什么是青春# L青年湖南的微博视频 收起d,blue,1,2,9,154,
2099,青白江规划自然资源,08月29日 13:12,//weibo.com/2815901284/M3gEQF6SP?refer_flag=1001030103_,【#3分钟记住2022年最热夏天#！#这就是川渝人民的平凡大义#】8月12日起，中央气象台连发10余个最高级别高温预警，我国高温事件综合强度达1961年以来最强。这个夏天，我们经历了高温、干旱、缺电、山火…更经历了团结和感动。61年来最高温逐渐退散，永远不应忘记2022年的这个夏天，每一度电都来之不易，每一滴水都是地球馈赠。敬畏生命，关爱自然，一起守护我们共同的家园！#在重庆有一种感动叫双向奔赴# O网页链接 收起d,blue,0,0,0,210,
2100,济宁小浪,08月29日 13:12,//weibo.com/5170942053/M3gEuxFtP?refer_flag=1001030103_,#山东汉子带着挖掘机来了# 8月26日，肆虐了五六天的重庆北碚区缙云山大火终于被扑灭。灭火过程中，一群山东汉子在缙云山上开辟10公里隔离带， 用挖掘机给肆虐山火画上“红线”他们 逢山凿路遇水架桥，上山他们手脚并用，下山全靠往下滑，鞋里灌上半斤泥土，全身像在泥巴里打过滚儿，但他们仍在山火现场坚守。“这就是我们山东人的性格，实在耿直。”几十名山东汉子指挥着四十多台挖掘机，坚守在这样的环境中，直到26日山火基本扑灭，部分挖掘机仍在山上进行火场清理和道路修复等后续工作。（闪电新闻） L城市体验家的微博视频 收起d,yellow,0,0,1,255,
2101,HB豆子_好好活着,08月29日 13:11,//weibo.com/1901360055/M3gE86qAt?refer_flag=1001030103_,我好天真，我还以为重庆山火这事从头到尾都是正能量，结果还是被打拳了 ?,ip,0,0,1,35,
2102,武汉晚报,08月29日 13:10,//weibo.com/1879778060/M3gDXao9F?refer_flag=1001030103_,【#女孩作画记录重庆山火感动瞬间#：向救火英雄们致敬 时刻被他们感】8月28日，浙江杭州。最近几天，小陈一直在关注重庆山火的消息。她时刻被一些感人事迹感动着，随后就把这些感人的瞬间通过自己的画作表现出来，向救火的英雄们致敬。#漫画版摩托救火少年# @猛犸新闻 L猛犸新闻的微博视频 ???,blue,0,0,3,144,
2103,胜利主义章北海,08月29日 13:10,//weibo.com/2281157913/M3gDVFw4W?refer_flag=1001030103_,重庆一位爱玩越野摩托的女生，之前家里很不理解她。这次参与扑灭山火后，哭着给爸爸打电话：“我坚持和热爱的事情终于对社会有用了” 愿每一个人都活出属于自己的精彩。L胜利主义章北海的微博视频 ?,gold,96,143,2564,94,
2104,豹猫小姐,08月29日 13:10,//weibo.com/1603455090/M3gDLBD6w?refer_flag=1001030103_,看见一篇描述重庆山火的文章，感动得差点掉泪，本想给他点个赞，但以往种种经历为了谨慎起见，在他主页搜了我的宝贝，原来21年还在不停的骂我的宝贝，迅速拉黑了事。这个互联网，我只信任我的宝贝和我的同担 ?,ip,0,0,0,99,
2105,四川青年志愿者,08月29日 13:10,//weibo.com/2482301881/M3gDKpIvq?refer_flag=1001030103_,#志志愿愿说快讯# 【#驰援重庆的云南森林消防到家了#】圆满完成赴渝救山火任务，8月28日凌晨4点，首批432名云南森林消防指战员回到云南省森林消防总队训练大队。快看“蓝朋友”睡得好香呀。网友：辛苦了，好好睡一觉吧~@云南日报 L云南日报的微博视频 ?,blue,0,0,0,126,
2106,未央检察,08月29日 13:10,//weibo.com/2849814611/M3gDI2V9M?refer_flag=1001030103_,【#英雄战士与英雄人民的双向奔赴#，真好】这几天，重庆人民自发送别消防员的一幕幕刷屏了。在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。“平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！重庆，重情！这样的双向奔赴，真好！#主播说联播#L央视新闻的微博视频 收起d,blue,0,0,2,165,
2107,和有免责金牌的犯罪分子讲道理,08月29日 13:08,//weibo.com/7580691540/M3gDbkmGW?refer_flag=1001030103_,《重庆北碚山火明火终于扑灭，现场群众欢呼：北碚雄起！我们赢了！胜利了！》“北碚雄起！我们赢了！胜利了！”据@重庆发布 最新消息 ，8月25日23时，经过各方救援力量奋力扑救，重庆北碚区歇马街道山火明火已有效封控。O网页链接 ?,None,0,0,0,113,
2108,江苏消防,08月29日 13:08,//weibo.com/2258717480/M3gD6iYvl?refer_flag=1001030103_,【致敬！#退伍老兵和战友山火现场重逢#】在重庆群众送别“灭火英雄”的队伍中，一位男子在现场失声痛哭，引起了很多人的注意。他叫万家乐，是原武警云南省森林总队普洱支队景谷中队的退伍老兵，家在重庆。他也是这次上山的志愿者，参与了灭火工作。今天来为自己曾经的战友送行，瞬间无法自持、失声痛哭。L央视网快看的微博视频 收起d,blue,4,9,16,157,
2109,BoXiao极夜光,08月29日 13:07,//weibo.com/2047087107/M3gCF4CHm?refer_flag=1001030103_,#西安核酸#其实只要提前和群众说明清楚，为什么要这么安排？请大家合理安排时间配合就好了。下雨天本身就急匆匆的赶去上班，结果到了楼下又挤在一起不能上楼，附近的核酸点也都挤满了人，自然大家都会觉得很突然很烦躁。心里还是默默告诉自己稍安勿躁，当下政府最重要的还是稳定民心，同时防止疫情悄然无息的扩散。做核酸大家都能理解，要用防疫好的城市做榜样。这个难关需要民众一起携手度过。相比重庆山火，四川山火，还有其他城市遭遇的自然灾害，西安已经很幸运了。加油！西安！还有我的家乡，甘肃！加油！都好好的！挺过去！守得云开见月明！ 收起d,ip,0,6,10,259,
2110,昆明广播电视台,08月29日 13:07,//weibo.com/2773976700/M3gCweT4C?refer_flag=1001030103_,【#龙麻子称走红后心慌将继续送外卖#：支援结束 先睡个一天一夜】#龙麻子和朋友成立骑士山火救援队#8月21日晚，重庆北碚区歇马街道发生山火，由于山路不畅 ，众多摩托骑手自发支援火灾前线，引发关注。凤凰网@正面FACE?对话龙杰（龙麻子），他表示走红背后离不开朋友的帮忙，但并不习惯走在街头被人认出，合影拍照，直言“心里非常慌”。支援前线结束后，龙麻子称将继续送外卖，坦言“先睡个一天一夜”。同时龙麻子和朋友们已经成立重庆骑士“山火救援队”，称时刻准备着，“只要有需要我们就上”。#微博当事人# L正面FACE的微博视频 收起d,blue,0,0,0,263,
2111,承包笑点,08月29日 13:07,//weibo.com/5809057042/M3gCvlDYC?refer_flag=1001030103_,今天武警小哥哥和志愿者们还坚守在缙云山上。#重庆山火##龙麻子称走红后心慌将继续送外卖# L承包笑点的微博视频 ?,ip,10,5,213,57,
2112,罗业华微博,08月29日 13:06,//weibo.com/3057923997/M3gCp7dQp?refer_flag=1001030103_,为重庆英雄儿女点赞！ L罗业华微博的微博视频 ?,None,0,0,0,24,
2113,毕节政法,08月29日 13:06,//weibo.com/7214110652/M3gCogbK4?refer_flag=1001030103_,【#重庆山火中他们挖出10公里隔离带#】8月21日22时30分，重庆市北碚区虎头山突发山火。在消防、武警和当地志愿者的共同奋战下，这场大火在8月26日被扑灭。在这场山火中拼命的山东人：一声令下，所有人逆火而上！挖掘机、破碎锤......在山势险峻的缙云山上挖掘清理出了近10公里的隔离带。他们三四天基本都没休息，大家只说了四个字——”问心无愧“。向#在重庆山火中拼过命的人#致敬！#重庆最高温将逐步降至35℃以下#L闪电新闻的微博视频 收起d,blue,0,0,0,221,
2114,文化知识学习,08月29日 13:06,//weibo.com/3245079994/M3gCmtHgF?refer_flag=1001030103_,重庆人民排队数公里欢送灭火英雄：连消防员的皮卡都被“投喂”了8月28日上午，重庆。云南省森林消防总队增援重庆山火的最后304名指战员撤离，重庆市民自发夹道欢送，他们在车队两旁举着国旗，敲锣打鼓，不断挥手，还竖起大拇指。据四川观察报道，重庆人民热烈欢送，连消防员关窗也拦不住疯狂“投喂”，这份来自山城人民的真挚情感，隔着屏幕都能感受到。网友：最终还是皮卡承担了所有！据了解，重庆山火发生以来，云南省森林消防总队按照上级命令先后出动736名指战员，穿越滇、黔、川、渝4省区，最远行程1300余公里，跨区增援重庆火场。广大指战员在极端高温下，奋战2天2夜，先后完成了北碚区歇马街道、长寿区万顺镇和巴南区界石镇3个火场灭火作战任务，留下了一幕幕感人瞬间。据人民日报报道，8月26日，重庆市森林火灾各处明火已全部扑灭，无人员伤亡和重要设施损失，但有些瞬间却将永远铭刻在记忆中。 收起d,yellow,0,0,0,387,
