,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,,
19,生活全报道,08月29日 01:20,//weibo.com/1888018193/M3bZvlTDw?refer_flag=1001030103_,【#重庆人有多热情# 差点把妹子一起“送”了】近日，重庆市，山火扑灭后，消防员开始分批撤离，市民们纷纷夹道欢送，并热情投送各种食物、用品。其中一大姐情绪激动，将一女子抱起欲送上车逗乐网友。有网友调侃：见识到重庆人民的热情，差点把重庆妹子也一起送了。网友：#重庆人差点把妹子一起送了#！ @点时新闻 L点时新闻的微博视频 收起d,blue,0,2,0,163,
20,华记茶餐厅杨官华,08月29日 01:19,//weibo.com/6222984796/M3bZg3qub?refer_flag=1001030103_,華記8月28報導：少年強則國強！重慶人龍&火龍，8天山火終於救熄！感動人心的場面！令人熱血沸騰！重慶好在有您（人民子弟兵） L华记茶餐厅杨官华的微博视频 ?,ip,15,14,393,78,
21,校园咨询君,08月29日 01:12,//weibo.com/1943349535/M3bWAcF0Y?refer_flag=1001030103_,#重庆缙云山大火是怎么扑灭的# 重庆广电集团（科教频道）纪录片制作团队深入缙云山火灾一线，记录以火攻火，取得消灭山火决胜的最后8小时！2重庆 #重庆# L校园咨询君的微博视频 ?,gold,1,6,74,89,
22,风物长长长宜,08月29日 01:10,//weibo.com/1012413173/M3bVOkqxm?refer_flag=1001030103_,重庆山火8天被遏制，这是只有在中国才会出现的景象。#重庆山火 #重庆北碚区山火 ##快手# @快手 L姚sir说的快手视频 ?,None,0,0,0,63,
23,愿愿Az,08月29日 01:10,//weibo.com/5575915431/M3bVBFe0a?refer_flag=1001030103_,#思源驰援重庆山火# 予人为乐，与己而乐。我在“思源驰援重庆山火”项目捐款成功！@中华思源工程扶贫基金会http://t.cn/A6SJGvIk ?,None,0,0,0,74,
24,#NAME?,08月29日 01:09,//weibo.com/1303834011/M3bVaqTqT?refer_flag=1001030103_,云南甘肃四川驰援重庆的消防官兵说：这次北碚山火他们见证了太多第一，第一次有几千名志愿者后备，第一次在高温45度的极端天气灭火，第一次坐摩托车上山灭火，第一次在灭火现场吃到冰糕，第一次在高山灭火有冰砖降温。要知道每块冰砖都是80斤以上，山上没路，全是志愿者顶着明晃晃的大太阳用肉身一块一块的背上山的。真的，这次北碚山火，很多故事可能都会让你泪目。（蓝鲸小跟班） 收起d,gold,1,1,4,183,
25,海南廖孝炳,08月29日 01:07,//weibo.com/5652189783/M3bUrjREa?refer_flag=1001030103_,#重庆山火后灭火器堆成小山丘#截至8月26日，经各方共同努力，重庆市森林火灾救援全面转入清理看守阶段，无人员伤亡和重要设施损失。灭火结束后，灭火器被堆成一个个“小山丘”，见证着#山城人民的英雄气#！大量市民积极报名参加志愿者到山上协助清理垃圾以及搬运灭火器。L中新视频的微博视频 @中新视频@稀有血型牛牛 2海口·国新书苑 收起d,yellow,0,0,0,165,
26,海南廖孝炳,08月29日 01:06,//weibo.com/5652189783/M3bU9vzmm?refer_flag=1001030103_,#中国好网民#【重庆人民举着国旗敲锣打鼓送消防英雄】今天上午，云南省森林消防总队增援重庆山火的最后304名指战员撤离，他们也是北碚火场的攻坚队伍。重庆人民自发赶来送行↓他们举着国旗，敲锣打鼓，不断挥手，还竖起大拇指。网友：暖心#今天正能量# L央视新闻的微博视频 ??? 2海口·国新书苑 收起d,yellow,1,0,2,148,
27,天中蜀黍,08月29日 01:05,//weibo.com/1685702730/M3bTMsGCm?refer_flag=1001030103_,重庆山火刚刚扑灭，耗材们就迫不及待了，双标玩儿到如此娴熟的地步，也是高手无疑了。我不是对财经大V有意见啊，可是这三个被禁言的账号咋全是财经类的呢？真心佩服这种账号，角度刁钻，手法娴熟，节奏明快。下次挣钱的时候招呼一声，有好处大家一起啊！#重庆下雨##在重庆有一种感动叫双向奔赴# ?,gold,210,129,1112,141,
28,每日搞笑搜罗,08月29日 01:05,//weibo.com/6185411474/M3bTpbw8T?refer_flag=1001030103_,#重庆山火# #正能量#通宵战斗之后，迎来日出朝霞，这一幕真美！云破日出，你们就是那道光！ L每日搞笑搜罗的微博视频 ?,None,0,0,3,60,
