,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,
0,兀兀与三月,08月23日 01:59,//weibo.com/5539098073/M2hGCuJ4j?refer_flag=1001030103_,#重庆山火# 尽绵薄之力，愿一切平安 ?,None,0,2,14,20
1,李求醉,08月23日 01:55,//weibo.com/3979492828/M2hEN2Nap?refer_flag=1001030103_,#重庆已组织1500余人扑救巴南山火#8月21日下午17:00时左右，重庆巴南区界石镇新玉村所辖山林发生火灾。市区两级迅速启动应急预案，已组织应急力量1500余人紧急扑救。 ?,gold,0,0,0,88
2,天凉好个秋1018,08月23日 01:54,//weibo.com/6807830343/M2hEC6LU8?refer_flag=1001030103_,#奉节山火#重庆又发山火了？求求老天下场雨吧??? ?,None,0,0,2,27
3,再来满杯珍波椰,08月23日 01:50,//weibo.com/6372558415/M2hD373Gc?refer_flag=1001030103_,核酸人 核酸魂 一觉醒来被封了 空气里飘着一股糊味儿重庆 真有你的高温?山火?疫情 ?,None,0,0,0,43
4,Cynthia小乖,08月23日 01:48,//weibo.com/1825689541/M2hCfvDpq?refer_flag=1001030103_,#重庆已组织1500余人扑救巴南山火#重庆巴南区界石镇新玉村所辖山林发生火灾。市区两级迅速启动应急预案，现已组织应急力量1500余人紧急扑救。目前，无人员伤亡，周边群众已转移安置。过火面积和起火原因正在调查中。 ?,yellow,0,0,0,107
5,渝北法院,08月23日 01:47,//weibo.com/3936801022/M2hBMc7NV?refer_flag=1001030103_,【#重庆火灾一线消防员睡姿让人心疼#】8月18日以来，重庆多地发生山林火灾，经全力扑救，目前#重庆多处山火被有力压制#，无人员伤亡。在重庆大足森林火灾一线，42度高温天气下，森林消防员与火魔从深夜奋战到天亮，累得躺在滚烫的地上和衣而卧。L应急管理部的微博视频 ?,blue,0,3,2,131
6,Mykeshi_,08月23日 01:45,//weibo.com/6416961262/M2hB3ijaQ?refer_flag=1001030103_,都热得限电了 热死那么多人了 热得引发山火了 然后还看到重庆人民说因为疫情防控被封着动不了  病例不清零就不可能回归正常是吗我们拆腻丝 ?,ip,0,0,1,69
7,CQ3144,08月23日 01:45,//weibo.com/3749158527/M2hAJg2tc?refer_flag=1001030103_,（原创）昨晚21:20分拍照，无意间发现南山上也出现了山火?????Baby sea Jia?@中国消防 @重庆南岸消防 @重庆发布 @南岸发布 @中国天气通 @重庆天气 重庆 2重庆·重庆之眼 ?,yellow,0,11,13,100
8,琳琳吃早饭了没,08月23日 01:45,//weibo.com/6322288348/M2hAJcJXU?refer_flag=1001030103_,记8.22在重庆待了好久从早上睡到下午起来回工作消息终于捅咕明白了我的吸尘器做饭吃饭开会述职洗床单打扫卫生直到屋子里飘着的都是我爱的味道洗澡护肤做数据看剧突然得到通知可能要早起去客户家录视频脚本还没构思重庆天气预报持续43度众所周知 重庆天气预报是不能信的外面体感温度至少再加个10度东北人真的烤化在南方我这个月的电费估计又高的离谱今天开了一整天的空调疫情静态封控高温限电持续发生的山火只想说该敬畏自然啰里八嗦了一堆就是不想剪辑图片倒是在想什么时候去贵阳避暑处暑一到我爱的秋天该来了. 2重庆 收起d,None,0,1,1,250
9,更好的小房子,08月23日 01:44,//weibo.com/6560795149/M2hAn1ZHF?refer_flag=1001030103_,#重庆山火#最近的消息都好揪心呀希望早一点下??。所有消防员???都能平安归来！人在自然面前，太渺小了 ?,ip,0,1,1,53
