Unnamed: 0,微博用户名,发布时间,微博链接,微博内容,转发数,评论数,点赞数,Unnamed: 9,Unnamed: 10
12575.0,环球网,08月24日 23:18,//weibo.com/1686546714/M2zub11uK?refer_flag=1001030103_,【#95岁老人深夜煮粥支援救山火队员#】8月23日，重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里也没有很好的饭菜，就只能先煮稀饭让大家吃点东西填饱肚子。网友：谢谢外婆，愿大家都平安归来！（人民视频） L人民视频的微博视频 ?,55.0,62.0,932.0,139,
310.0,中国基建报,08月25日 02:09,//weibo.com/2818784432/M2ABLuFrK?refer_flag=1001030103_,#缙云山# #重庆山火# #重庆缙云山山火已烧至主山脉# L小康杂志社的微博视频 ?,0.0,1.0,2.0,42,
584.0,未来网,08月25日 07:54,//weibo.com/2409482243/M2CRNkKB0?refer_flag=1001030103_,#缙云山山火#【#重庆女教师骑摩托支援山火救援#】8月23日，重庆#北碚# 。一百多辆摩托车集结在缙云山脚下，热心市民自发为救援山火贡献力量，其中一位语文女教师在朋友圈看到需要人手的消息，便骑摩托车前来驰援。她表示，自己过来帮忙，能做一点是一点！网友：为人师表，重庆最美女教师！（上游新闻） #川渝人是有些英雄气在身上的# L未来网的微博视频 #重庆加油# 收起d,11.0,10.0,209.0,182,
597.0,光明网,08月25日 07:50,//weibo.com/1752825395/M2CPXC4Ki?refer_flag=1001030103_,【这就是人民子弟兵！#解放军奋战山火休息时和衣而卧#】重庆突发山火，解放军战士奋战了一夜，休息时，他们和衣而卧，睡在了地上。L光明网的微博视频 ?,3.0,2.0,18.0,73,
695.0,中国日报网,08月25日 07:32,//weibo.com/2127460165/M2CIJmvhu?refer_flag=1001030103_,【这就是人民子弟兵！#解放军奋战山火休息时和衣而卧#】重庆突发山火，解放军战士奋战了一夜，休息时，他们和衣而卧，睡在了地上。（人民日报）L西陆强军号的微博视频 ???,0.0,4.0,19.0,83,
823.0,央视新闻,08月25日 08:58,//weibo.com/2656274875/M2DhxlefJ?refer_flag=1001030103_,【#重庆巴南山火明火已扑灭#】记者从重庆市巴南区委宣传部了解到，经86小时全力扑救，截至今日7时，巴南区火场南线明火已扑灭，北线已保持无明火状态14小时以上。至此，巴南火场全面转入清理看守状态。（总台记者牟亮  图自巴南区融媒体中心） ?,3652.0,3349.0,31957.0,119,
1051.0,中国网,08月25日 08:33,//weibo.com/3164957712/M2D7gedlw?refer_flag=1001030103_,#95岁外婆煮稀饭给救山火人员补充体力#【辛苦了！#9旬老人给救山火人员煮稀饭# 】8月23日，在重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里没有很好的饭菜，只能先煮稀饭让大家吃点东西填饱肚子。网友：人间大爱，谢谢外婆！@人民视频 L人民视频的微博视频 收起d,3.0,1.0,8.0,157,
1171.0,新华网,08月25日 08:20,//weibo.com/2810373291/M2D2037c3?refer_flag=1001030103_,#95岁外婆煮稀饭给救山火人员补充体力#【辛苦了！#9旬老人给救山火人员煮稀饭# 】8月23日，在重庆，救山火人员深夜在院子里休息，95岁的外婆为大家煮稀饭补充体力。拍摄者表示，由于情况紧急，家里没有很好的饭菜，只能先煮稀饭让大家吃点东西填饱肚子。网友：人间大爱，谢谢外婆！@人民视频 L人民视频的微博视频 收起d,57.0,56.0,1278.0,157,
1193.0,半月谈,08月25日 08:16,//weibo.com/2318265821/M2D0IeWC2?refer_flag=1001030103_,【这就是人民子弟兵！#解放军奋战山火休息时和衣而卧#】重庆突发山火，解放军战士奋战了一夜，休息时，他们和衣而卧，睡在了地上。L西陆强军号的微博视频 ???,10.0,19.0,168.0,77,
1441.0,法治日报,08月25日 09:42,//weibo.com/2087169013/M2Dzu8uVs?refer_flag=1001030103_,【#支援重庆山火救援骑士主力多是90后#】受持续高温影响，近一周来，重庆市已至少有8起突发山火。山地陡峭，交通不便，散点多发，屡扑难灭，成为本次重庆山火的突出特点。重庆市统一调度城市消防、武警官兵等3000余人紧急在两区扑救。这些天，一批又一批有救灾经验和能力的志愿者陆续加入，而最引人关注的，是重庆的一批“摩托骑士”。在摩托车发动机的轰鸣声中，持续干旱的尘土扬起，几百辆摩托车志愿者队伍成为主力军，背着背篓，多日活跃在救援一线，分批运送物资和灭火设备。参与支援的摩托车店主王晓臣介绍，前往现场支援的摩友主力多是90后，各行各业的都有，聚在一起就为灭火这一件事。在他看来，“我觉得重庆人民还是很团结，不管是山下的志愿者还是摩托车爱好者。我们之前去报志愿者，名额都是满的了，基本上不差人。有人站出来做这些事，没有工资，再累再苦也干。”via.央视新闻L央视新闻的微博视频 收起d,23.0,12.0,103.0,388,
1447.0,未来网,08月25日 09:42,//weibo.com/2409482243/M2DzjwgPt?refer_flag=1001030103_,#重庆群众自发背物资徒步上山#【有困难一起扛！#川渝人是有些英雄气在身上的#】近日，川渝多地山火。摩托大军+1：山上人去不到，全靠这些娃儿冲；志愿群众+1：我来！我参加过08年抗震救灾；爱心商户+1：肉多装点，黄豆少装点；消防官兵+1：有我们在请放心！#80秒看迎战川渝山火的凡人英雄#↓辛苦了，请一定平安！  L人民日报的微博视频 收起d,14.0,14.0,122.0,170,
